Virus Type,Accession,GMQE,QMEAN,Seq Similarity
Cypovirus,5H0R_F ,0.98,-1.85,0.9849
Dinovernavirus,AIW39868.1,0.63,-4.45,0.2633
Fijivirus,AEV91045.1,0.43,-7.46,0.1752
Orthoreovirus,AED99918.1,0.43,-5.34,0.1604
Orthoreovirus,AIX94441.1,0.46,-5.93,0.159
Orthoreovirus,BAW99799.1,0.43,-6.11,0.152
Orthoreovirus,ALG03364.1,0.43,-6.13,0.149
Orthoreovirus,AIS72853.1,0.42,-6.17,0.1471
Orthoreovirus,ACV52064.1,0.42,-6.56,0.1569
Orthoreovirus,AFQ41025.1,0.42,-6.61,0.156
Orthoreovirus,AGV74340.1,0.42,-6.82,0.1579
Orthoreovirus,AAL36027.1,0.42,-6.94,0.156
Orthoreovirus,AII00809.1,0.08,-7.01,0.2983
